,speaker,language,word,t1,t2,cog,sd,skew,kurtosis,db_d,db_v,burst_time,db_ratio,db_diff
2,S03,English,DEBRIEFING,16.9162,17.006,9331.365901426954,9099.226682090879,0.2172047672896143,-1.8293386557396383,14.410470085410338,31.78632951189572,16.97859977324263,0.45335432894248967,-17.37585942648538
13,S03,English,DEVICE,19.737003900079443,19.7759,5570.126199276642,5475.245640827283,1.1101309320147998,0.3224782249523477,23.78017514825395,25.817032957730742,19.738951247165538,0.9211041093369767,-2.0368578094767926
21,S03,English,DECIBEL,29.2426,29.323863921541776,2029.146224346834,3564.142687674296,3.5774868769190658,14.214614470647543,26.296182036273645,36.71065261915905,29.29823129251701,0.7163093042521897,-10.414470582885404
31,S03,English,DYNAMIC,38.4377,38.4875,2239.903179021399,4235.422108804557,3.1358986179135937,9.229153010561939,24.64751084441947,36.956378884116,38.45009637188209,0.6669352244089334,-12.308868039696527
41,S03,English,DECENTRALIZED,63.1371,63.2668,7724.125832066706,7567.425842575507,0.32543024591136593,-1.6631267774939011,22.10182787739441,34.533380183236986,63.204450113378684,0.6400134524949563,-12.431552305842576
65,S03,English,DEAMON,101.4086,101.4585,2542.8785411286917,4447.059716775186,2.4427463569311785,5.275875660806914,26.089409931900747,37.0790783577141,101.43104875283447,0.7036153833223038,-10.989668425813356
73,S03,English,DECLARATORY,109.2218,109.27821273491773,4280.192495713272,5182.655089150265,1.6613992724174778,1.8961027086909068,24.088792154626116,27.332799104371063,109.2525,0.8813144992081633,-3.2440069497449464
87,S03,English,DECORUM,120.9294,121.0391,2361.423273593596,4089.14325583274,2.4858741242867897,6.055337973918546,26.833138808668807,30.83727051943882,121.02175170068027,0.8701528493500766,-4.0041317107700145
97,S03,English,DEBATE,130.6631,130.7486848511975,9663.763030056234,6813.341716904873,-0.29166984987652805,-1.6248494483156686,24.133774521224794,29.966811789832445,130.72839569161,0.8053500883071331,-5.833037268607651
105,S03,English,DEFLOWER,140.7113,140.8011,3776.582923224985,5646.748776440983,1.7918559535271623,1.9921570931636765,21.837390539183303,22.747714863798585,140.78370181405896,0.9599817243153509,-0.9103243246152815
114,S03,English,DARK,148.1263,148.25778096104182,849.2238394676906,1804.2361390666013,6.367261250688836,49.73564556381609,34.56321812442865,42.05863459575359,148.23704081632653,0.8217865001237652,-7.495416471324937
121,S03,English,DAMAGE,150.5048,150.5547,5244.393165100311,6075.886804763792,1.2661335957184054,0.25528449386822105,21.43895376591821,36.265493346803616,150.52725056689343,0.5911667479854594,-14.826539580885406
129,S03,English,DOCTOR,163.1381,163.178,1523.0498869954595,3409.2492879325755,4.358362681447179,19.553897132525844,26.225606294480308,35.86143148533195,163.15554988662132,0.7313039443282433,-9.63582519085164
137,S03,English,DANCE,165.1176,165.1675,2796.928587056953,3907.6668131826864,2.951675410610747,8.892145276932846,25.797403678794346,37.700874407118704,165.14005102040818,0.684265393959225,-11.903470728324358
144,S03,English,DABBLE,169.0139,169.0438,3422.0865623499603,4339.680811140932,2.309413048135152,5.327841192910229,24.742202828831267,37.163122158972925,169.02134353741494,0.6657729865373363,-12.420919330141658
152,S03,English,DOMAIN,171.1577,171.26382567676194,3108.7378193908066,3769.1600345856664,2.2896154927035153,5.979262422093489,28.28597078409715,35.29326811455112,171.2382709750567,0.8014551299780334,-7.007297330453969
160,S03,English,DIAL,173.598,173.6796175677157,3351.637453970085,5480.953967263099,1.7043082921340809,1.482717674509808,24.875510016265018,39.53726851625112,173.6588095238095,0.6291661247675814,-14.6617584999861
170,S03,English,DASHBOARD,181.7066,181.79588101084886,4735.2824102519035,5744.789253902358,1.3423418547566124,0.4984518287610826,24.7001463375663,40.73056135285971,181.7637358276644,0.6064278398616298,-16.03041501529341
180,S03,English,DEVELOP,193.4263,193.5261,8594.128671345672,6246.942887784061,0.07799712765572982,-1.5400470927063836,24.232424956309874,39.19261926391743,193.50870181405898,0.6182905202924109,-14.960194307607555
190,S03,English,DOT,204.0125,204.0724,2954.4019206013136,4674.906385239925,2.4393081864994643,5.334650116369726,24.858002255166358,42.29340492703474,204.03994897959186,0.5877512651925704,-17.435402671868385
